Date,Price,Open,High,Low,LQ45_Vol,Change %
03/09/2019,977.21,987.29,991.27,973.74,1.31B,-0.94%
02/09/2019,986.45,996.31,997.29,986.24,1.53B,-0.93%
30/08/2019,995.76,988.68,995.76,985.28,1.37B,1.41%
29/08/2019,981.95,981.75,985.25,979.14,1.03B,0.19%
28/08/2019,980.13,982.74,985.35,977.03,1.25B,0.05%
27/08/2019,979.66,975.43,982.05,967.73,1.92B,1.22%
26/08/2019,967.89,960.1,968.96,951.48,1.26B,-0.75%
23/08/2019,975.25,968.94,975.25,962.89,1.11B,0.30%
22/08/2019,972.38,972.63,975.22,963.9,1.21B,0.09%
21/08/2019,971.55,981.32,984.38,971.55,1.01B,-1.13%
20/08/2019,982.7,987.8,988.29,979.4,1.18B,-0.15%
19/08/2019,984.13,986.27,989.38,980.62,926.80M,0.39%
16/08/2019,980.29,985.08,986.35,977.46,1.27B,-0.31%
15/08/2019,983.31,967.87,983.31,963.9,1.19B,-0.37%
14/08/2019,986.93,987.41,989.73,981.3,1.26B,1.08%
13/08/2019,976.34,986.53,986.53,972.36,1.14B,-0.93%
12/08/2019,985.46,996.35,997.28,983.29,891.79M,-0.56%
09/08/2019,991.03,996.26,999.85,991.03,1.13B,0.07%
08/08/2019,990.36,981.46,991.44,980.04,1.32B,1.44%
07/08/2019,976.33,970.27,980.2,967.81,1.72B,1.62%
06/08/2019,960.75,957.07,971.6,944.55,2.09B,-1.54%
05/08/2019,975.75,1001.57,1002.82,975.59,1.83B,-3.24%
02/08/2019,1008.43,1006.89,1010.41,1003.9,1.37B,-0.82%
01/08/2019,1016.75,1020.95,1022.89,1015.17,1.50B,-0.56%
31/07/2019,1022.43,1016.44,1022.61,1013.49,1.72B,0.21%
30/07/2019,1020.28,1012.02,1020.42,1011.25,1.15B,1.28%
29/07/2019,1007.35,1012.32,1014.33,1003.47,961.85M,-0.19%
26/07/2019,1009.31,1018.5,1019.71,1006.93,1.80B,-1.47%
25/07/2019,1024.36,1023.83,1026.9,1021.6,2.95B,0.22%
24/07/2019,1022.09,1029.43,1030.13,1021.48,5.13B,-0.49%
23/07/2019,1027.11,1032.41,1033.36,1025.17,2.13B,-0.31%
22/07/2019,1030.33,1034.67,1035.59,1027.26,2.77B,-0.30%
19/07/2019,1033.44,1028.81,1033.44,1027.85,3.27B,0.79%
18/07/2019,1025.29,1021.47,1027.31,1018.21,2.85B,0.13%
17/07/2019,1023.97,1023.78,1025.48,1020.11,3.41B,-0.15%
16/07/2019,1025.53,1026.86,1028.76,1023,1.92B,-0.25%
15/07/2019,1028.14,1026.17,1032.36,1024.78,2.12B,1.06%
12/07/2019,1017.35,1025.33,1026.41,1017.2,1.53B,-0.87%
11/07/2019,1026.23,1028.58,1029.61,1021.76,1.61B,0.10%
10/07/2019,1025.19,1021.92,1025.24,1020.48,1.04B,0.44%
09/07/2019,1020.69,1012.44,1020.69,1012.25,965.56M,0.79%
08/07/2019,1012.67,1015.22,1016.8,1008.57,797.42M,-0.59%
05/07/2019,1018.73,1020.02,1021.71,1016.09,1.22B,-0.17%
04/07/2019,1020.42,1020.27,1021.75,1017.3,1.85B,0.02%
03/07/2019,1020.22,1017.6,1022.74,1013.69,1.61B,-0.29%
02/07/2019,1023.2,1023.15,1023.86,1017.29,2.28B,0.23%
01/07/2019,1020.86,1019.71,1022,1017.05,1.67B,0.68%
28/06/2019,1013.96,1014.85,1016.99,1010.63,1.12B,0.26%
27/06/2019,1011.38,1004.51,1012.52,1003.51,1.28B,1.02%
26/06/2019,1001.13,1004.75,1006.98,1000.19,1.58B,-0.28%
25/06/2019,1003.93,1003.82,1004.75,1000.32,1.46B,0.59%
24/06/2019,998.04,1003.05,1004.97,996.55,919.72M,-0.70%
21/06/2019,1005.07,1010.89,1012.37,993.82,1.60B,-0.39%
20/06/2019,1009.05,1013.27,1014.55,1002.98,1.39B,-0.24%
19/06/2019,1011.48,1002.56,1011.48,1002.46,1.36B,1.69%
18/06/2019,994.7,981.39,994.7,980.99,1.18B,1.47%
17/06/2019,980.29,993.04,993.2,980.29,849.54M,-1.08%
14/06/2019,991.02,995.92,999,987.75,833.65M,-0.34%
13/06/2019,994.39,997.73,997.84,989.2,983.35M,-0.18%
12/06/2019,996.18,992.89,998.11,991.6,1.02B,-0.61%
11/06/2019,1002.32,1001.16,1004.77,992.49,1.12B,0.03%
10/06/2019,1002,1000.35,1011.24,999.77,1.83B,1.95%
31/05/2019,982.88,961.54,982.88,961.14,1.51B,2.45%
29/05/2019,959.34,951.47,961.83,950.14,1.08B,1.53%
