Date,Price,Open,High,Low
03/02/2004,158.74,163.56,163.56,157.71
30/01/2004,164.65,166.83,166.83,162.8
29/01/2004,167.06,167.53,167.84,165.91
28/01/2004,167.96,169.32,170.45,167.67
27/01/2004,169.39,171.77,171.91,167.51
26/01/2004,171.77,171.12,171.77,169.3
23/01/2004,171.84,170.28,171.86,170.28
21/01/2004,170.28,169.42,170.92,169.32
20/01/2004,169.42,168.27,169.42,168.12
19/01/2004,168.24,169.01,170.44,167.06
16/01/2004,169.01,167.69,169.44,167.65
15/01/2004,167.71,166.77,168.48,166.77
14/01/2004,166.82,164.36,166.92,163.82
13/01/2004,164.33,163.71,164.84,163.25
12/01/2004,163.17,165.4,165.4,162.52
09/01/2004,166.04,162.67,167.52,162.67
08/01/2004,161.94,157.26,161.94,157.26
07/01/2004,157.26,161.3,161.3,156.74
06/01/2004,161.33,162,165,159.71
05/01/2004,161.02,155.5,161.27,155.5
02/01/2004,155.5,151.74,155.5,151.3
30/12/2003,151.9,152.81,154.58,151.09
29/12/2003,152.17,148.28,152.17,148.28
23/12/2003,148.28,147.1,148.28,147.1
22/12/2003,147.1,147.21,147.36,146.31
19/12/2003,147.17,145.74,147.17,145.74
18/12/2003,145.57,143.97,145.57,143.97
17/12/2003,143.97,144.06,144.72,143.52
16/12/2003,144.18,144.5,144.5,143.34
15/12/2003,144.77,144.05,144.81,143
12/12/2003,143.86,143.24,144.25,143
11/12/2003,142.91,141.41,142.99,141.06
10/12/2003,141.52,141.62,141.86,140.89
09/12/2003,141.64,142.39,142.75,141.03
08/12/2003,142.41,139.12,142.45,138.88
05/12/2003,139.82,141,141.59,139.8
04/12/2003,141.17,142.12,142.12,140.76
03/12/2003,142.12,139.23,142.12,139.08
02/12/2003,139.43,139.27,140.45,138.63
01/12/2003,139.06,135.78,139.33,135.78
21/11/2003,135.77,133.29,136.19,132.75
20/11/2003,133.3,132.51,133.4,132.15
19/11/2003,132.51,132.61,132.97,131.91
18/11/2003,133.25,133.79,133.79,132.38
17/11/2003,133.89,133.94,133.94,132.44
14/11/2003,133.94,135.32,135.32,133.82
13/11/2003,135.39,137.35,137.35,134.74
12/11/2003,136.81,136.1,137.61,136.1
11/11/2003,136.22,135.79,136.22,133.58
10/11/2003,136.8,138.6,138.66,136.16
07/11/2003,138.67,139.55,139.79,137.53
06/11/2003,140.23,141.05,142.36,139.94
05/11/2003,140.41,138.18,141.03,138.18
04/11/2003,138.18,135.81,138.18,135.81
03/11/2003,135.8,137.31,137.31,134.07
31/10/2003,137.71,138.53,139.68,137.42
30/10/2003,138.54,138.12,138.54,137.48
29/10/2003,138.12,138.47,139.29,136.5
28/10/2003,138.47,139.15,140.64,137.74
27/10/2003,138.5,139.89,139.89,137.59
24/10/2003,139.92,139.47,139.92,138.33
23/10/2003,139.2,142.15,142.15,138.13
22/10/2003,143.08,143.27,144,142.25
21/10/2003,142.99,144.24,145.4,142.33
20/10/2003,144.09,143.43,144.57,143.38
17/10/2003,143.34,143.39,144.11,142.81
16/10/2003,143.33,143.21,144.54,142.72
15/10/2003,143.21,143.23,143.35,142.35
14/10/2003,142.89,142.79,143.93,142.74
13/10/2003,142.73,142.91,143.42,141.37
10/10/2003,142.72,142.29,144.6,142.09
09/10/2003,141.63,138.74,141.63,138.74
08/10/2003,138.74,136.8,139.09,136.79
07/10/2003,136.56,136.31,136.56,135.24
06/10/2003,136.25,137.79,138.21,135.2
03/10/2003,137.86,137.5,138.13,136.87
02/10/2003,137.55,134.76,138.98,134.76
01/10/2003,134.02,132.02,134.66,132.02
30/09/2003,132.03,132.09,133.19,132.02
29/09/2003,132.09,132.04,132.12,130.84
26/09/2003,132.39,133.05,133.05,131.64
25/09/2003,133.35,132.65,134.08,132
24/09/2003,133.81,129.06,133.81,129.06
23/09/2003,129.06,127.56,129.06,126.61
19/09/2003,127.88,127.46,127.94,127.45
18/09/2003,127.4,128.19,128.22,126.89
17/09/2003,128.2,127.52,129.33,127.52
16/09/2003,127.42,125.21,127.61,125.21
15/09/2003,125.21,125.9,126.42,124.25
12/09/2003,125.9,122.66,125.9,122.58
11/09/2003,122.39,124.31,124.31,121.51
10/09/2003,124.48,127.61,127.61,124.37
09/09/2003,127.82,129.16,129.72,127.5
08/09/2003,128.55,127.5,129.03,124.88
05/09/2003,127.19,125.54,129.54,125.54
04/09/2003,125.42,122.25,125.89,122.25
03/09/2003,120.99,116.21,120.99,116.21
02/09/2003,115.8,114.71,115.8,114.67
01/09/2003,114.71,113.37,114.71,113.37
29/08/2003,113.37,113.77,114.07,113.13
28/08/2003,113.64,113.98,114.04,113.06
27/08/2003,113.98,113.85,113.98,113.11
26/08/2003,113.8,113.9,113.94,112.9
25/08/2003,113.89,114.68,114.74,113.59
22/08/2003,114.73,114,114.73,113.83
21/08/2003,114,113.25,114.09,113.02
20/08/2003,113.26,113.1,113.26,112.03
19/08/2003,112.97,113.13,113.82,112.38
15/08/2003,112.61,110.89,112.61,110.89
14/08/2003,110.72,111.23,111.23,110.35
13/08/2003,111,109.91,111.21,109.91
12/08/2003,109.66,108.87,109.75,108.87
11/08/2003,108.87,108.86,109.24,108.34
08/08/2003,108.94,110.48,110.48,108.78
07/08/2003,110.42,107.38,110.42,107.38
06/08/2003,106.93,105.81,107.3,105.81
05/08/2003,105.43,108.79,108.79,102.81
04/08/2003,108.79,110.44,110.44,107.99
01/08/2003,110.47,110.91,110.97,110.05
31/07/2003,110.9,111.61,111.61,110.23
30/07/2003,111.47,111.89,111.93,110.76
29/07/2003,112.23,112.8,112.84,111.54
28/07/2003,112.68,111.72,112.9,111.72
25/07/2003,111.59,110.61,111.82,110.51
24/07/2003,110.47,112.36,112.36,108.83
23/07/2003,112.57,113.2,113.38,111.68
22/07/2003,113.28,114.16,114.55,112.75
21/07/2003,114.55,115.15,115.17,113.83
18/07/2003,115.15,114.52,115.15,113.98
17/07/2003,114.72,115.51,115.86,114.32
16/07/2003,115.51,117.88,117.88,115.23
15/07/2003,118.01,118.61,119.22,117.33
14/07/2003,118.52,117.98,118.52,116.56
11/07/2003,117.72,115.53,117.72,114.91
10/07/2003,116,116.48,116.84,115.64
09/07/2003,116.33,116.43,116.71,115.8
08/07/2003,116.3,114.56,116.3,114.56
07/07/2003,114.55,112.77,114.55,112.77
04/07/2003,112.77,112.91,113.08,112.12
03/07/2003,113.47,113.36,114.12,112.97
02/07/2003,113.22,113.05,113.22,112.55
01/07/2003,113.22,112.72,113.67,112.34
30/06/2003,112.73,112.78,113.99,112.28
27/06/2003,113.04,111.26,113.04,111.26
26/06/2003,110.75,111.28,111.54,109.5
25/06/2003,111.15,111.12,112.01,110.66
24/06/2003,111.12,111.93,111.93,109.59
23/06/2003,112.59,113.72,113.9,111.86
20/06/2003,113.77,113.29,114.28,113.29
19/06/2003,113.44,111.45,113.44,111.39
18/06/2003,111.61,112.89,112.99,110.7
17/06/2003,112.89,114.27,114.88,111.93
16/06/2003,113.58,112.92,113.58,112.92
