Date,Price,Open,High,Low,Volume
29/12/2015,787.90,783.99,788.71,783.98,533160000
28/12/2015,785.47,775.17,789.09,775.00,713320000
23/12/2015,778.11,778.27,780.27,773.02,686330000
22/12/2015,779.15,776.48,780.12,772.61,779560000
21/12/2015,775.45,766.32,776.75,766.18,762000000
18/12/2015,770.86,778.55,779.47,770.86,878760000
17/12/2015,790.96,789.69,790.96,783.11,1030000000
16/12/2015,773.05,768.15,773.05,760.15,980820000
15/12/2015,756.37,746.99,756.37,746.73,953090000
14/12/2015,748.12,742.61,748.21,736.33,778620000
11/12/2015,751.64,768.85,769.23,751.64,788610000
10/12/2015,767.42,761.48,768.75,760.90,975990000
08/12/2015,767.74,774.00,780.93,767.74,921500000
07/12/2015,781.23,781.75,788.78,781.23,747890000
04/12/2015,777.48,777.26,783.86,775.93,785060000
03/12/2015,783.84,779.64,787.49,778.23,676450000
02/12/2015,784.99,786.05,788.56,782.62,862930000
01/12/2015,785.64,771.02,785.64,771.02,1040000000
30/11/2015,755.46,778.11,780.25,755.46,1930000000
27/11/2015,787.04,795.72,797.93,782.65,644240000
26/11/2015,795.17,793.08,799.25,790.05,871720000
25/11/2015,790.30,784.59,790.68,784.05,776930000
24/11/2015,781.33,779.10,784.84,778.80,701140000
23/11/2015,780.55,789.83,793.85,780.55,824390000
20/11/2015,787.45,774.55,787.45,774.39,985520000
19/11/2015,778.06,778.67,781.49,776.90,932900000
18/11/2015,773.37,774.39,777.34,770.28,773250000
17/11/2015,770.95,764.98,775.12,764.98,865480000
16/11/2015,756.48,753.92,760.49,746.19,726870000
13/11/2015,762.89,754.02,767.16,752.59,722500000
12/11/2015,759.33,758.57,768.16,758.29,795540000
11/11/2015,756.71,754.48,759.88,750.23,769640000
10/11/2015,754.70,758.69,772.20,754.70,935530000
09/11/2015,767.99,780.38,780.41,766.09,733720000
06/11/2015,783.83,789.47,792.68,783.83,624340000
05/11/2015,787.01,791.51,795.18,785.00,693790000
04/11/2015,794.64,784.80,794.65,784.66,1060000000
03/11/2015,777.53,770.54,780.74,769.37,1240000000
02/11/2015,762.41,756.46,764.14,752.13,937850000
30/10/2015,759.73,763.21,768.04,759.55,1090000000
29/10/2015,765.53,794.14,794.99,765.34,1100000000
28/10/2015,795.98,803.89,806.18,793.29,933700000
27/10/2015,810.73,806.43,810.73,797.58,1050000000
26/10/2015,812.90,812.42,814.85,809.84,1250000000
23/10/2015,804.74,807.11,810.41,797.26,1580000000
22/10/2015,789.50,795.97,796.58,788.55,954580000
21/10/2015,793.78,791.82,802.14,790.97,1150000000
20/10/2015,788.90,784.62,794.30,783.27,1230000000
19/10/2015,785.39,775.56,785.55,775.40,890370000
16/10/2015,772.27,775.99,778.71,768.47,922150000
15/10/2015,770.07,770.85,780.09,770.07,911660000
13/10/2015,763.12,794.61,794.67,763.12,1270000000
12/10/2015,796.87,790.88,799.32,790.65,1190000000
09/10/2015,788.95,780.61,795.23,780.61,1700000000
08/10/2015,768.55,770.91,777.72,767.47,1120000000
07/10/2015,767.08,762.66,768.25,751.16,1520000000
06/10/2015,759.31,743.33,762.81,743.33,1910000000
05/10/2015,733.70,710.41,735.08,709.79,1270000000
02/10/2015,701.32,708.98,712.75,701.32,714350000
01/10/2015,711.77,706.90,716.67,705.66,971500000
30/09/2015,704.98,699.54,707.32,694.02,1140000000
29/09/2015,696.71,667.52,696.71,660.81,1090000000
28/09/2015,680.30,696.43,696.87,680.30,954680000
25/09/2015,699.37,709.48,709.52,696.11,1130000000
23/09/2015,707.86,720.89,720.94,706.85,952140000
22/09/2015,729.92,738.35,739.99,728.34,894570000
21/09/2015,737.18,733.22,739.29,731.26,571640000
18/09/2015,740.38,742.16,747.03,734.39,1360000000
17/09/2015,740.97,732.40,741.70,731.14,1010000000
16/09/2015,728.94,735.95,737.75,727.83,792010000
15/09/2015,732.62,738.90,739.68,730.84,663700000
14/09/2015,743.37,740.89,743.37,737.59,645760000
11/09/2015,736.36,736.65,740.61,735.49,837240000
10/09/2015,731.49,723.38,731.49,718.66,1050000000
09/09/2015,732.23,734.02,738.25,727.78,1490000000
08/09/2015,726.63,719.02,728.78,715.71,1190000000
07/09/2015,723.93,745.21,745.39,722.63,773870000
04/09/2015,749.85,750.45,753.24,747.50,713140000
03/09/2015,753.17,752.93,755.41,745.88,989950000
02/09/2015,746.11,737.54,750.27,734.65,1110000000
01/09/2015,748.98,764.31,764.46,748.58,1030000000
31/08/2015,770.81,757.27,771.43,755.97,1270000000
28/08/2015,757.07,767.50,771.83,754.17,1570000000
27/08/2015,754.83,725.65,756.15,725.65,1900000000
26/08/2015,710.80,701.17,712.77,694.46,1440000000
25/08/2015,708.26,696.94,725.32,696.89,1870000000
24/08/2015,692.21,702.99,703.14,682.44,1450000000
21/08/2015,727.23,737.63,737.63,727.23,1160000000
20/08/2015,747.93,752.89,753.76,744.82,905830000
19/08/2015,756.40,759.46,765.75,753.88,974850000
18/08/2015,761.59,773.12,774.85,761.59,1120000000
14/08/2015,776.46,775.96,778.82,769.53,1210000000
13/08/2015,775.12,752.77,779.65,752.77,1670000000
12/08/2015,752.32,768.17,768.17,747.81,1620000000
11/08/2015,781.11,811.67,813.23,781.11,1320000000
10/08/2015,807.91,809.18,810.04,800.56,904510000
07/08/2015,811.46,817.63,817.94,809.95,705780000
06/08/2015,818.89,828.94,832.15,818.89,1120000000
05/08/2015,827.55,812.34,827.55,810.76,1830000000
04/08/2015,810.98,810.95,816.59,809.92,1270000000
03/08/2015,815.05,806.83,817.00,806.47,1070000000
31/07/2015,813.10,795.60,813.36,795.45,1060000000
30/07/2015,793.25,800.96,803.84,793.25,867860000
29/07/2015,796.06,801.32,807.45,796.06,898910000
28/07/2015,796.44,802.40,803.00,796.44,893610000
27/07/2015,808.52,822.39,826.70,808.52,706840000
24/07/2015,828.39,836.70,837.09,827.02,602090000
23/07/2015,839.79,840.16,843.64,837.96,642070000
22/07/2015,842.59,837.45,842.59,830.38,1050000000
15/07/2015,832.88,837.66,838.35,829.24,650880000
14/07/2015,839.41,841.11,844.87,836.96,733930000
13/07/2015,837.54,830.81,838.15,829.31,705170000
10/07/2015,829.82,830.03,834.80,825.95,927130000
09/07/2015,824.73,826.08,827.98,818.50,798540000
08/07/2015,831.64,841.55,841.55,829.69,1090000000
07/07/2015,839.87,843.40,845.26,836.77,778020000
06/07/2015,843.01,847.63,852.08,842.25,769740000
03/07/2015,857.04,847.76,857.04,847.07,805490000
02/07/2015,848.91,840.07,852.99,840.03,960450000
01/07/2015,837.42,842.57,844.87,837.42,646340000
30/06/2015,839.14,836.08,846.38,833.44,870510000
29/06/2015,834.85,835.53,837.52,829.77,705490000
26/06/2015,842.37,840.13,846.63,836.20,725290000
25/06/2015,840.90,847.08,847.33,840.90,1100000000
24/06/2015,849.48,850.53,854.50,846.37,1010000000
23/06/2015,846.54,853.79,855.34,846.54,643270000
22/06/2015,851.84,859.45,859.45,851.75,703980000
19/06/2015,857.65,853.99,859.36,853.99,752550000
18/06/2015,850.58,850.74,854.58,848.03,733600000
17/06/2015,850.18,839.94,853.75,839.94,930530000
16/06/2015,834.32,827.56,839.23,823.39,810350000
15/06/2015,825.12,843.36,843.42,825.12,628810000
12/06/2015,846.06,846.02,848.60,843.16,609820000
11/06/2015,844.73,856.27,857.24,840.40,741300000
10/06/2015,846.68,842.53,856.20,842.09,1060000000
09/06/2015,838.75,860.18,860.27,830.18,1170000000
08/06/2015,863.43,877.60,878.31,861.97,772490000
05/06/2015,881.23,875.71,881.23,874.21,657550000
04/06/2015,879.33,884.92,889.42,879.33,691020000
03/06/2015,887.20,901.60,902.70,885.92,1080000000
01/06/2015,904.77,903.05,904.77,898.07,561260000
29/05/2015,904.13,908.42,913.82,904.13,1850000000
28/05/2015,910.22,915.45,918.09,908.21,822690000
27/05/2015,912.93,921.48,926.98,912.93,877500000
26/05/2015,927.75,920.08,934.12,919.76,822970000
25/05/2015,920.92,925.25,925.59,920.52,510400000
22/05/2015,926.60,929.11,931.02,922.75,659490000
21/05/2015,927.39,926.71,933.79,919.00,1060000000
20/05/2015,922.33,920.49,926.63,917.55,1030000000
19/05/2015,915.70,908.89,917.15,904.45,914220000
18/05/2015,909.12,905.54,909.31,904.14,948920000
15/05/2015,906.73,912.58,915.02,903.81,1140000000
13/05/2015,910.98,905.17,913.36,900.74,1490000000
12/05/2015,902.24,898.28,907.69,897.38,969990000
11/05/2015,897.40,903.04,905.27,897.40,741740000
08/05/2015,898.32,896.47,902.63,896.25,1080000000
07/05/2015,890.04,890.18,898.58,886.57,1130000000
06/05/2015,897.70,885.97,897.70,882.99,929080000
05/05/2015,892.72,888.23,899.88,883.62,1200000000
04/05/2015,885.02,871.20,892.27,870.85,1200000000
30/04/2015,869.44,872.81,887.29,859.45,1700000000
29/04/2015,877.29,905.45,907.10,858.28,1640000000
28/04/2015,908.65,901.93,908.65,892.84,1120000000
27/04/2015,910.65,941.13,942.37,907.45,1360000000
24/04/2015,950.48,952.80,955.76,947.94,751020000
23/04/2015,948.84,949.23,954.71,948.10,905190000
22/04/2015,948.06,949.94,952.01,946.50,765210000
21/04/2015,952.00,938.63,952.00,938.24,850400000
20/04/2015,937.15,937.77,938.35,933.54,712770000
17/04/2015,938.76,941.53,943.79,938.76,836560000
16/04/2015,942.23,942.23,943.76,937.92,897300000
15/04/2015,940.62,942.04,942.61,935.06,789840000
14/04/2015,940.24,946.28,946.93,936.49,916010000
13/04/2015,948.53,950.26,951.81,944.43,806990000
10/04/2015,953.21,956.73,957.57,948.99,679790000
09/04/2015,955.88,955.51,955.88,951.40,600200000
08/04/2015,953.49,959.66,960.66,951.76,879510000
07/04/2015,962.03,959.48,962.93,959.02,935120000
06/04/2015,953.82,952.09,956.43,951.54,702370000
02/04/2015,949.22,955.18,957.23,944.76,1150000000
01/04/2015,951.80,961.46,964.15,949.02,978750000
31/03/2015,961.93,959.75,962.72,956.38,1370000000
30/03/2015,946.46,942.19,953.42,941.45,976320000
27/03/2015,937.51,927.94,938.91,927.16,874610000
26/03/2015,932.01,933.16,941.90,930.82,1230000000
25/03/2015,939.37,945.30,946.05,938.25,1120000000
24/03/2015,947.82,947.88,950.83,945.97,984840000
23/03/2015,947.00,950.10,952.41,947.00,877280000
20/03/2015,946.86,944.50,950.24,942.30,1430000000
19/03/2015,949.74,948.73,950.90,947.09,1430000000
18/03/2015,940.66,941.62,943.92,940.66,1080000000
17/03/2015,944.99,949.96,951.63,944.36,1170000000
16/03/2015,945.52,939.57,949.08,939.49,776660000
13/03/2015,942.35,949.63,950.42,940.91,1000000000
12/03/2015,945.05,941.16,948.65,940.93,1030000000
11/03/2015,941.51,943.18,945.82,938.95,1700000000
10/03/2015,949.40,944.65,952.36,937.90,1210000000
09/03/2015,946.54,952.96,953.17,942.88,1130000000
06/03/2015,960.78,950.67,960.78,948.96,1360000000
05/03/2015,946.57,949.00,952.93,946.57,1050000000
04/03/2015,946.51,953.92,955.21,945.70,1020000000
03/03/2015,953.11,954.14,959.08,953.11,1220000000
02/03/2015,953.68,947.52,953.85,947.08,1130000000
27/02/2015,946.88,951.17,952.47,946.88,1080000000
26/02/2015,950.21,946.88,952.00,946.38,1150000000
25/02/2015,950.83,946.72,951.08,946.28,876330000
24/02/2015,944.46,941.21,946.17,940.42,964880000
23/02/2015,942.13,943.60,945.19,939.15,1070000000
20/02/2015,941.11,942.68,948.51,941.11,1280000000
18/02/2015,940.41,938.59,948.38,938.02,2080000000
17/02/2015,929.68,926.85,931.10,926.85,764250000
16/02/2015,926.80,938.78,940.05,926.80,1100000000
13/02/2015,937.82,934.13,937.82,932.97,1140000000
12/02/2015,928.93,927.57,929.01,923.70,1050000000
11/02/2015,926.17,924.74,927.15,922.68,1110000000
10/02/2015,920.90,927.63,929.48,919.18,850760000
09/02/2015,926.29,923.70,932.33,922.18,1210000000
06/02/2015,923.89,915.35,923.89,914.52,1630000000
05/02/2015,910.94,918.79,919.63,906.00,1240000000
04/02/2015,920.35,919.59,925.78,916.39,1870000000
03/02/2015,913.59,911.27,915.61,910.98,1430000000
02/02/2015,908.39,908.96,911.58,905.17,897980000
30/01/2015,912.05,916.06,916.57,911.73,1160000000
29/01/2015,909.06,910.35,910.93,907.64,1110000000
28/01/2015,911.69,914.85,915.21,911.05,947530000
27/01/2015,916.10,911.62,916.10,908.50,1200000000
26/01/2015,913.03,921.15,922.83,901.40,1630000000
23/01/2015,926.52,917.87,926.52,917.87,2130000000
22/01/2015,910.78,902.92,912.45,902.76,1850000000
21/01/2015,902.83,893.50,902.83,890.40,1200000000
20/01/2015,890.90,887.84,890.90,881.67,1110000000
19/01/2015,887.26,887.30,891.21,884.18,1130000000
16/01/2015,886.34,891.99,897.42,885.44,848120000
15/01/2015,893.68,892.19,894.86,889.02,1180000000
14/01/2015,886.94,898.27,899.32,886.94,1080000000
13/01/2015,897.55,893.87,898.64,893.73,1320000000
12/01/2015,890.83,895.31,899.03,890.83,715500000
09/01/2015,898.83,901.81,904.50,898.16,1220000000
08/01/2015,898.00,900.36,902.29,898.00,1120000000
07/01/2015,897.51,889.85,898.12,889.54,970700000
06/01/2015,888.20,889.72,893.87,888.20,843560000
05/01/2015,898.27,899.82,900.85,895.36,868360000
02/01/2015,903.13,900.31,903.56,899.54,676940000
30/12/2014,898.58,892.71,898.58,892.30,905140000
29/12/2014,892.81,891.30,895.14,890.58,818060000
24/12/2014,890.86,886.99,893.07,886.78,784660000
23/12/2014,886.40,886.67,889.70,886.40,726860000
22/12/2014,883.13,890.22,891.33,883.13,692880000
19/12/2014,886.07,888.54,892.35,884.30,1340000000
18/12/2014,881.38,875.04,881.38,873.71,1130000000
17/12/2014,864.79,863.29,870.57,860.45,1140000000
16/12/2014,862.08,868.91,869.33,859.08,1780000000
15/12/2014,879.13,878.89,881.53,876.00,973140000
12/12/2014,888.02,886.10,892.95,885.61,867500000
11/12/2014,886.49,883.48,890.44,883.19,845090000
10/12/2014,890.07,880.73,891.47,880.72,902220000
09/12/2014,880.91,881.48,884.22,879.73,716190000
08/12/2014,884.28,896.27,898.32,881.62,763960000
05/12/2014,893.78,894.22,896.77,893.17,614410000
04/12/2014,892.18,891.94,898.35,889.54,971350000
03/12/2014,890.43,894.70,895.27,889.08,1090000000
02/12/2014,893.58,892.04,897.03,891.33,1120000000
01/12/2014,890.70,886.46,891.16,883.64,1080000000
28/11/2014,886.33,885.41,886.96,882.54,1200000000
27/11/2014,886.84,885.01,887.89,885.01,659200000
26/11/2014,884.59,882.86,885.80,879.11,779340000
25/11/2014,881.28,885.74,889.16,881.28,1020000000
24/11/2014,886.93,884.07,889.13,883.09,1030000000
21/11/2014,878.56,874.52,881.85,873.42,996190000
20/11/2014,875.16,880.05,880.81,869.99,899990000
19/11/2014,881.24,879.52,884.09,878.63,1190000000
18/11/2014,876.59,873.04,876.59,870.31,1110000000
17/11/2014,867.22,862.45,871.49,862.31,773290000
14/11/2014,865.52,864.29,868.86,862.83,596820000
13/11/2014,864.55,862.61,865.30,859.35,529110000
12/11/2014,863.20,862.80,867.29,860.16,742760000
11/11/2014,859.04,844.98,861.72,844.91,766300000
10/11/2014,843.54,849.77,852.42,843.54,477820000
07/11/2014,847.29,857.40,858.89,846.10,780280000
06/11/2014,857.62,864.84,865.34,857.50,618880000
05/11/2014,864.06,865.37,867.22,859.88,626260000
04/11/2014,864.29,866.55,868.97,864.29,723770000
03/11/2014,868.31,871.31,871.52,862.76,665820000
31/10/2014,868.05,864.61,868.05,861.11,953350000
30/10/2014,860.29,863.18,863.65,855.51,790670000
29/10/2014,863.47,851.09,863.47,850.88,985540000
28/10/2014,846.53,852.35,852.81,845.27,745380000
27/10/2014,851.34,865.85,866.68,851.34,611720000
24/10/2014,862.55,866.41,868.04,858.49,645280000
23/10/2014,867.72,863.03,869.01,861.13,866140000
22/10/2014,862.46,859.98,863.55,859.56,1030000000
21/10/2014,853.43,859.23,859.75,849.96,835210000
20/10/2014,855.03,864.12,869.69,855.03,1580000000
17/10/2014,854.19,838.91,859.87,837.53,1770000000
16/10/2014,837.26,831.69,844.07,831.28,1180000000
15/10/2014,839.11,837.66,842.29,835.73,1080000000
14/10/2014,831.34,825.65,834.88,825.31,764720000
13/10/2014,828.30,832.26,835.15,828.30,659350000
10/10/2014,838.68,832.97,841.08,830.78,867690000
09/10/2014,844.40,846.06,849.02,844.17,910410000
08/10/2014,837.37,842.27,847.24,837.37,843880000
07/10/2014,852.40,849.76,856.55,845.17,1000000000
06/10/2014,845.50,840.40,847.15,833.24,704490000
03/10/2014,833.91,845.08,848.10,830.06,1090000000
02/10/2014,842.86,862.34,863.06,842.08,1270000000
01/10/2014,870.81,875.83,877.72,869.69,1100000000
